_id,pressure,altitude,acceleration_x,acceleration_y,acceleration_z,timestamp,__v
67758d46730962ef7ab56e28,93507,672.12,-2.55,-8.17,4.9,2025-01-01T18:45:26.762Z,0
67758d47730962ef7ab56e2a,96882.25,376.57,5.35,-1.37,5.89,2025-01-01T18:45:27.175Z,0
67758d47730962ef7ab56e2c,96889.39,375.95,4.02,-2.53,6.82,2025-01-01T18:45:27.582Z,0
67758d47730962ef7ab56e2e,96890.16,375.89,1.06,-5.91,10.21,2025-01-01T18:45:27.910Z,0
67758d48730962ef7ab56e30,96896.12,375.37,-0.05,-1.06,8.2,2025-01-01T18:45:28.217Z,0
67758d48730962ef7ab56e32,96897.79,375.23,1.21,-1.49,10.01,2025-01-01T18:45:28.609Z,0
67758d49730962ef7ab56e34,96897.95,375.21,-0.8,-2.02,8.18,2025-01-01T18:45:29.020Z,0
67758d49730962ef7ab56e36,96894.44,375.52,-2.17,-2.97,10.6,2025-01-01T18:45:29.425Z,0
67758d49730962ef7ab56e38,96902.83,374.79,-3.51,-3.59,9.64,2025-01-01T18:45:29.737Z,0
67758d4a730962ef7ab56e3a,96902.83,374.79,-2.37,-2.71,7.43,2025-01-01T18:45:30.053Z,0
67758d4a730962ef7ab56e3c,96906.04,374.51,-1.92,-3.65,6.65,2025-01-01T18:45:30.463Z,0
67758d4a730962ef7ab56e3e,96914.41,373.79,-6.81,-5.23,6.6,2025-01-01T18:45:30.789Z,0
67758d4b730962ef7ab56e40,96912.73,373.94,-5.6,-7.11,4.11,2025-01-01T18:45:31.108Z,0
67758d4b730962ef7ab56e42,96914.09,374.27,-1.26,-3.64,7.86,2025-01-01T18:45:31.475Z,0
67758d4b730962ef7ab56e44,96909.08,374.25,1.25,-3.09,8.19,2025-01-01T18:45:31.803Z,0
67758d4c730962ef7ab56e46,96909.38,374.23,0.9,-2.1,8.35,2025-01-01T18:45:32.197Z,0
67758d4c730962ef7ab56e48,96903.76,374.71,1.06,-3.1,9.31,2025-01-01T18:45:32.704Z,0
67758d4d730962ef7ab56e4a,96910,374.17,1.6,-2.97,9.09,2025-01-01T18:45:33.012Z,0
67758d4d730962ef7ab56e4c,96904.06,374.24,0.87,-1.85,7.14,2025-01-01T18:45:33.526Z,0
67758d4d730962ef7ab56e4e,96903.29,374.53,1.37,-2.65,9.17,2025-01-01T18:45:33.846Z,0
67758d4e730962ef7ab56e50,96905.59,374.55,0.55,-2.51,9.8,2025-01-01T18:45:34.176Z,0
67758d4e730962ef7ab56e52,96901.47,374.91,0.17,-2.83,8.98,2025-01-01T18:45:34.754Z,0
67758d4f730962ef7ab56e54,96914.41,373.79,0.68,-2,8.83,2025-01-01T18:45:35.101Z,0
67758d4f730962ef7ab56e56,96913.64,373.86,-0.71,-4.25,9.93,2025-01-01T18:45:35.409Z,0
67758d4f730962ef7ab56e58,96913.64,373.86,0.15,-3.01,10.15,2025-01-01T18:45:35.786Z,0
67758d50730962ef7ab56e5a,96911.36,374.06,0.5,-2.87,9.31,2025-01-01T18:45:36.287Z,0
67758d50730962ef7ab56e5c,96919.85,373.32,0.43,-2.97,9.41,2025-01-01T18:45:36.698Z,0
67758d51730962ef7ab56e5e,96923.2,373.03,-0.05,-3.38,9.74,2025-01-01T18:45:37.107Z,0
67758d51730962ef7ab56e60,96916.53,373.61,0.77,-2.61,7.96,2025-01-01T18:45:37.415Z,0
67758d51730962ef7ab56e62,96927.62,372.65,-0.9,-2.04,9.6,2025-01-01T18:45:37.822Z,0
67758d52730962ef7ab56e64,96921.7,373.16,0.24,-1.6,7.62,2025-01-01T18:45:38.138Z,0
67758d52730962ef7ab56e66,96919.12,373.39,-0.56,-3.07,11.37,2025-01-01T18:45:38.449Z,0
67758d52730962ef7ab56e68,96925.8,372.81,-1.25,-2.88,10.17,2025-01-01T18:45:38.759Z,0
67758d53730962ef7ab56e6a,96919.85,373.32,-0.2,-3.08,9.36,2025-01-01T18:45:39.153Z,0
67758d53730962ef7ab56e6c,96928.38,372.59,-0.55,-1.87,8.64,2025-01-01T18:45:39.478Z,0
67758d53730962ef7ab56e6e,96932.53,372.23,0.13,-1.99,8.91,2025-01-01T18:45:39.815Z,0
67758d54730962ef7ab56e70,96929.94,372.45,0.1,-2.81,9.51,2025-01-01T18:45:40.183Z,0
67758d54730962ef7ab56e72,96930.7,372.39,0.55,-1.8,9.39,2025-01-01T18:45:40.490Z,0
67758d54730962ef7ab56e74,96930.7,372.39,0.69,-2.72,9.72,2025-01-01T18:45:40.808Z,0
67758d55730962ef7ab56e76,96933.3,372.16,0.38,-3.07,10.08,2025-01-01T18:45:41.314Z,0
67758d55730962ef7ab56e78,96940.3,371.56,-0.81,-3.12,10,2025-01-01T18:45:41.713Z,0
67758d56730962ef7ab56e7a,96935.88,371.94,0.68,-2.52,7.9,2025-01-01T18:45:42.128Z,0
