_id,pressure,altitude,acceleration_x,acceleration_y,acceleration_z,timestamp,__v
67758e46730962ef7ab56e92,93681.62,656.62,-0.87,0.8,9.3,2025-01-01T18:49:42.893Z,0
67758e47730962ef7ab56e94,96951.44,370.6,1.32,1.47,9.17,2025-01-01T18:49:43.235Z,0
67758e47730962ef7ab56e96,96960.08,369.85,-0.35,-1.21,9.41,2025-01-01T18:49:43.688Z,0
67758e48730962ef7ab56e98,96950.78,370.65,-0.11,-0.05,8.12,2025-01-01T18:49:44.129Z,0
67758e48730962ef7ab56e9a,96940.58,371.53,0.27,0.54,10.07,2025-01-01T18:49:44.469Z,0
67758e49730962ef7ab56e9c,96954.56,370.33,1.78,0.07,10.98,2025-01-01T18:49:45.222Z,0
67758e49730962ef7ab56e9e,96975.2,368.55,-1.01,-0.91,9,2025-01-01T18:49:45.528Z,0
67758e4a730962ef7ab56ea0,96945,371.15,0.98,-0.09,10.28,2025-01-01T18:49:46.041Z,0
67758e4a730962ef7ab56ea2,96958.5,369.99,-0.93,-1.24,9.57,2025-01-01T18:49:46.343Z,0
67758e4a730962ef7ab56ea4,96949.3,370.78,2.14,0.88,8.02,2025-01-01T18:49:46.757Z,0
67758e4b730962ef7ab56ea6,96944.83,371.17,1.12,-0.57,10.43,2025-01-01T18:49:47.094Z,0
67758e4b730962ef7ab56ea8,96933.98,372.1,1.02,-0.17,9.42,2025-01-01T18:49:47.419Z,0
67758e4b730962ef7ab56eaa,96932.75,372.21,1.11,-0.53,8.26,2025-01-01T18:49:47.730Z,0
67758e4c730962ef7ab56eac,96927.39,372.67,0.59,0.23,9.17,2025-01-01T18:49:48.044Z,0
67758e4c730962ef7ab56eae,96933.61,372.14,0.72,-0.46,9.71,2025-01-01T18:49:48.498Z,0
67758e4c730962ef7ab56eb0,96933.16,372.17,0.62,0.21,10.71,2025-01-01T18:49:48.849Z,0
67758e4d730962ef7ab56eb2,96928.28,372.6,0.74,1.04,9.9,2025-01-01T18:49:49.171Z,0
67758e4d730962ef7ab56eb4,96939.2,371.65,0.59,0.71,10.16,2025-01-01T18:49:49.937Z,0
67758e4f730962ef7ab56eb6,96969.84,369.23,0.38,-0.96,10.8,2025-01-01T18:49:51.012Z,0
67758e4f730962ef7ab56eb8,96938.91,371.68,1.15,-1.3,10.78,2025-01-01T18:49:51.386Z,0
67758e4f730962ef7ab56eba,96918.89,373.41,0.41,-0.57,12.4,2025-01-01T18:49:51.776Z,0
67758e50730962ef7ab56ebc,96931.59,372.31,2.39,-0.81,11.58,2025-01-01T18:49:52.184Z,0
67758e50730962ef7ab56ebe,96920.73,373.25,1.53,0.03,9.33,2025-01-01T18:49:52.488Z,0
67758e50730962ef7ab56ec0,96909.55,374.21,-0.32,-0.71,5.92,2025-01-01T18:49:52.896Z,0
67758e51730962ef7ab56ec2,96919.39,373.36,0.6,-1.23,11.08,2025-01-01T18:49:53.308Z,0
67758e51730962ef7ab56ec4,96913.3,373.89,1.24,-1.19,9.52,2025-01-01T18:49:53.610Z,0
67758e51730962ef7ab56ec6,96918.7,373.42,0.08,-0.63,10.08,2025-01-01T18:49:53.919Z,0
67758e52730962ef7ab56ec8,96925.22,372.86,1.5,-0.44,11.07,2025-01-01T18:49:54.235Z,0
67758e52730962ef7ab56eca,96927.14,372.69,1.04,0.23,7.36,2025-01-01T18:49:54.546Z,0
67758e52730962ef7ab56ecc,96921.87,373.15,-2.54,2.12,6.95,2025-01-01T18:49:54.852Z,0
67758e53730962ef7ab56ece,96920.45,373.27,1.09,0.89,5.61,2025-01-01T18:49:55.149Z,0
67758e53730962ef7ab56ed0,96911.29,374.06,2.06,-5.13,13.15,2025-01-01T18:49:55.447Z,0
67758e53730962ef7ab56ed2,96913.38,373.88,-0.75,-0.14,11.37,2025-01-01T18:49:55.752Z,0
67758e54730962ef7ab56ed4,96913.48,373.87,1.41,0.21,8.3,2025-01-01T18:49:56.177Z,0
67758e54730962ef7ab56ed6,96906.87,374.44,1.34,0.28,10.66,2025-01-01T18:49:56.483Z,0
67758e54730962ef7ab56ed8,96902.3,374.84,-0.04,0.28,8.05,2025-01-01T18:49:56.891Z,0
67758e55730962ef7ab56eda,96904.88,375.06,-0.13,-0.18,8.46,2025-01-01T18:49:57.190Z,0
67758e55730962ef7ab56edc,96906.51,374.47,-0.11,-1.56,8.85,2025-01-01T18:49:57.608Z,0
67758e56730962ef7ab56ede,96904.46,374.65,-0.42,-1.56,8.04,2025-01-01T18:49:58.017Z,0
67758e56730962ef7ab56ee0,96899.89,375.05,-0.9,0.63,9.07,2025-01-01T18:49:58.325Z,0
67758e56730962ef7ab56ee2,96898.42,375.17,-1.13,-1.35,8.53,2025-01-01T18:49:58.642Z,0
67758e57730962ef7ab56ee4,96897.2,375.28,-0.93,-0.38,8.84,2025-01-01T18:49:59.045Z,0
67758e57730962ef7ab56ee6,96898.25,375.19,-2.82,0.6,10.31,2025-01-01T18:49:59.452Z,0
67758e57730962ef7ab56ee8,96897.48,375.25,-3.26,-0.39,8.02,2025-01-01T18:49:59.883Z,0
67758e58730962ef7ab56eea,96901.59,374.9,-3.92,-1.07,7.82,2025-01-01T18:50:00.200Z,0
67758e58730962ef7ab56eec,96897.48,375.25,-4.39,-1.36,7.67,2025-01-01T18:50:00.579Z,0
67758e59730962ef7ab56eee,96899.02,375.12,-4.09,-0.7,8.01,2025-01-01T18:50:01.089Z,0
